ぁ	ぁ	5065
あ	あ	5188
あ	亜	6121
あぁ	あぁ	5774
ああ	ああ	5016
ああ	嗚呼	6921
ああ	あゝ	7342
あい	愛	4930
あい	会い	5011
あい	空い	5579
あい	アイ	5689
あい	合い	5720
あい	あい	5996
あい	藍	6257
あい	相	6280
あいあい	あいあい	7359
あいあん	アイアン	6056
あいあんまん	アイアンマン	7323
あいあーる	IR	6280
あいいれない	相容れない	7403
あいいろ	藍色	7085
あいいん	愛飲	7231
あいうぇあ	アイウェア	7286
あいうえお	あいうえお	6938
あいうち	相打ち	7385
あいえいいーえい	IAEA	7549
あいえっくす	IX	7017
あいえむえふ	IMF	7248
あいおい	相生	7318
あいおわ	アイオワ	7486
あいおーしー	IOC	7063
あいか	あいか	7449
あいかぎ	合鍵	6983
あいかた	相方	6121
あいかつ	アイカツ	7186
あいかわ	相川	7261
あいかわ	哀川	7561
あいかわらず	相変わらず	5506
あいかわらず	あいかわらず	7226
あいがも	合鴨	7428
あいがん	愛玩	7269
あいき	愛機	7298
あいき	合気	7403
あいきどう	合気道	6815
あいきゃっち	アイキャッチ	6914
あいきょう	愛嬌	6338
あいきょう	愛敬	7499
あいぎす	アイギス	7430
あいく	アイク	7338
あいくるしい	愛くるしい	7083
あいけん	愛犬	5763
あいこ	愛顧	5996
あいこ	愛子	6447
あいこ	アイコ	6748
あいこ	あいこ	7174
あいこう	愛好	5981
あいこうか	愛好家	7444
あいこく	愛国	6893
あいこくしん	愛国心	7238
あいこす	アイコス	7453
あいことば	合言葉	6553
あいこにっく	アイコニック	7352
あいこん	アイコン	5347
あいこんたくと	アイコンタクト	7460
あいご	愛護	6481
あいさ	愛さ	5308
あいさい	愛妻	7212
あいさつ	挨拶	5067
あいさつ	あいさつ	5700
あいさつうんどう	あいさつ運動	7466
あいざっく	アイザック	7194
あいざわ	相澤	6951
あいざわ	藍沢	7260
あいざわ	相沢	7484
あいし	愛し	5396
あいし	あいし	7425
あいしあう	愛し合う	7402
あいしあっ	愛し合っ	7285
あいしゃ	愛車	5971
あいしゃ	アイシャ	7473
あいしゃどう	アイシャドウ	6475
あいしゅう	哀愁	6664
あいしょう	相性	5088
あいしょう	愛称	6077
あいしょうばつぐん	相性抜群	6672
あいしん	アイシン	7547
あいしんぐ	アイシング	6607
あいしー	IC	5716
あいしーかーど	ICカード	7074
あいしーゆー	ICU	6878
あいじょう	愛情	5487
あいじょうひょうげん	愛情表現	7214
あいじょうぶかい	愛情深い	7534
あいじん	愛人	6471
あいす	アイス	5342
あいす	愛す	6639
あいす	あいす	7506
あいすくりーむ	アイスクリーム	5978
あいすこーひー	アイスコーヒー	6893
あいすてぃー	アイスティー	7156
あいすと	アイスと	7528
あいすぶれいく	アイスブレイク	7411
あいすほっけー	アイスホッケー	7014
あいすぼーん	アイスボーン	7352
あいすらんど	アイスランド	6769
あいする	愛する	5589
あいず	合図	6266
あいず	会津	7449
あいせ	愛せ	7272
あいせき	相席	6911
あいせる	愛せる	7122
あいぜん	アイゼン	6942
あいそ	愛想	6604
あいそう	合いそう	6601
あいそう	愛想	7096
あいぞう	愛憎	7191
あいぞめ	藍染	6974
あいぞめ	藍染め	7400
あいたい	相対	6477
あいだ	間	5130
あいだ	あいだ	6274
あいだ	愛だ	7370
あいだ	相田	7418
あいだがら	間柄	6689
あいち	愛知	6031
あいちけん	愛知県	5526
あいちゃく	愛着	6048
あいつ	あいつ	5746
あいつ	アイツ	6327
あいつい	相次い	6127
あいつぎ	相次ぎ	6730
あいつぐ	相次ぐ	6599
あいづ	会津	6297
あいづち	相槌	7020
あいづわかまつ	会津若松	7041
あいて	相手	4211
あいてがた	相手方	6258
あいてがわ	相手側	7084
あいてさき	相手先	7214
あいてせんしゅ	相手選手	7490
あいてたーん	相手ターン	7341
あいてちーむ	相手チーム	7186
あいてのこと	相手のこと	6515
あいてのこと	相手の事	7336
あいてむ	アイテム	4540
あいてもんすたー	相手モンスター	7457
あいてる	開いてる	7507
あいであ	アイデア	5273
あいであしだい	アイデア次第	7481
あいでぃあ	アイディア	5951
あいでぃー	ID	5363
あいでんてぃてぃ	アイデンティティ	6237
あいでんてぃてぃー	アイデンティティー	7211
あいとう	哀悼	7084
あいとうのい	哀悼の意	7531
あいどく	愛読	6722
あいどりんぐ	アイドリング	6406
あいどる	アイドル	5060
あいどるかつどう	アイドル活動	7528
